Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277
Random Forest Baseline,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262
Random Forest SMOTE,0.8146067415730337,0.7611940298507462,0.75,0.7555555555555555,0.8267379679144385
Random Forest Tuned,0.8033707865168539,0.8,0.6470588235294118,0.7154471544715447,0.823529411764706
